Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?,
5LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes,
5MP,Normal,600,1,None,1,0,0,0,1.2,1.2,720,720,500,1500,Yes,
5HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes,
5LK,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes,
5MK,Normal,600,1,None,0.8,0,0,0,1.2,1.2,720,720,700,2000,Yes,
5HK,Normal,800,1,None,0.7,0,0,0,1.2,1.2,960,960,1000,3000,Yes,
2LP,Normal,300,1,None,0.8,0,0,0,1.2,1.2,360,360,300,250,Yes,
2MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,600,1500,Yes,
2HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes,
2LK,Normal,200,1,None,0.8,0,0,0,1.2,1.2,240,240,300,250,Yes,
2MK,Normal,500,1,None,0.8,0,0,0,1.2,1.2,600,600,600,1000,Yes,
2HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,3000,Yes,
8LP,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes,
8MP,Normal,700,1,None,1,0,0,0,1.2,1.2,840,840,500,1000,Yes,
8HP,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes,
8LK,Normal,300,1,None,1,0,0,0,1.2,1.2,360,360,300,500,Yes,
8MK,Normal,500,1,None,1,0,0,0,1.2,1.2,600,600,500,1000,Yes,
7 or 9HK,Normal,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes,
8HK,Normal,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2000,Yes,
5MP > 5HP target combo,Target Combo,600,1,> 5HP (5MP > 5HP target combo),1,0,0,0,1.2,1.2,720,720,500,1500,Yes,
> 5HP (5MP > 5HP target combo),Target Combo,400,1,None,1,0,0,0,1.2,1.2,480,480,300,400,No,
5MK > 5MK target combo,Target Combo,600,1,> 5MK (5MK > 5MK target combo),1,0,0,0,1.2,1.2,720,720,700,2000,Yes,
